lines,random,50,4,0.00125029101036489,0.0011944589205086231,dp_decomp
lines,random,50,6,0.0007525410037487745,0.001198875019326806,dp
lines,random,50,8,0.0010155829368159175,0.0014794999733567238,dp
lines,random,50,10,0.0012410000199452043,0.0016730829374864697,dp
lines,random,50,20,0.0015520410379394889,0.0022334579844027758,dp
lines,random,60,4,0.001656334032304585,0.0018688749987632036,dp
lines,random,60,6,0.001214624964632094,0.0016695420490577817,dp
lines,random,60,8,0.0018005419988185167,0.002248416072688997,dp
lines,random,60,10,0.0028404579497873783,0.003393416991457343,dp
lines,random,60,20,0.013985457946546376,0.005039958981797099,dp_decomp
lines,random,70,4,0.0013992920285090804,0.0019326660549268126,dp
lines,random,70,6,0.0016740000573918223,0.0021260420326143503,dp
lines,random,70,8,0.0025702499551698565,0.00309562508482486,dp
lines,random,70,10,0.0031629590084776282,0.003765624947845936,dp
lines,random,70,20,0.004099792102351785,0.0049700840609148145,dp
lines,random,80,4,0.002081042039208114,0.0026493329787626863,dp
lines,random,80,6,0.0025761249708011746,0.0031162500381469727,dp
lines,random,80,8,0.0019844589987769723,0.002582250046543777,dp
lines,random,80,10,0.003987375064752996,0.004624207969754934,dp
lines,random,80,20,0.00437266705557704,0.005283458041958511,dp
lines,random,90,4,0.0024022080469876528,0.002969042048789561,dp
lines,random,90,6,0.004320375039242208,0.005123374983668327,dp
lines,random,90,8,0.005090499995276332,0.005714916973374784,dp
lines,random,90,10,0.004971416085027158,0.005731082987040281,dp
lines,random,90,20,0.0062637090450152755,0.007140374975278974,dp
lines,random,100,4,0.0037836250849068165,0.0043319580145180225,dp
lines,random,100,6,0.0032817500177770853,0.0039667090168222785,dp
lines,random,100,8,0.004516083048656583,0.005208333022892475,dp
lines,random,100,10,0.005912749911658466,0.006685915985144675,dp
lines,random,100,20,0.007513208081945777,0.008463334059342742,dp
lines,inverse,50,4,0.0005507499445229769,0.0009218330960720778,dp
lines,inverse,50,6,0.0005037079099565744,0.0009404169395565987,dp
lines,inverse,50,8,0.0004933339077979326,0.000975875067524612,dp
lines,inverse,50,10,0.0004927499685436487,0.0010506659746170044,dp
lines,inverse,50,20,0.0005337500479072332,0.00124691694509238,dp
lines,inverse,60,4,0.0007262090221047401,0.001166249974630773,dp
lines,inverse,60,6,0.0006875839317217469,0.0011758330510929227,dp
lines,inverse,60,8,0.0006706250132992864,0.0011961249401792884,dp
lines,inverse,60,10,0.0006633750163018703,0.0012305000564083457,dp
lines,inverse,60,20,0.0006996659794822335,0.0016371249221265316,dp
lines,inverse,70,4,0.000986750004813075,0.0014434170443564653,dp
lines,inverse,70,6,0.0009755409555509686,0.0014857499627396464,dp
lines,inverse,70,8,0.0008830419974401593,0.0014881249517202377,dp
lines,inverse,70,10,0.0008885000133886933,0.0015196669846773148,dp
lines,inverse,70,20,0.0009284579427912831,0.0018887920305132866,dp
lines,inverse,80,4,0.0012800829717889428,0.0017782910726964474,dp
lines,inverse,80,6,0.0011263330234214664,0.0016781659796833992,dp
lines,inverse,80,8,0.0011001250240951777,0.0016964579699561,dp
lines,inverse,80,10,0.0010845829965546727,0.001712457975372672,dp
lines,inverse,80,20,0.001084792078472674,0.0020275000715628266,dp
lines,inverse,90,4,0.0016313339583575726,0.0021355419885367155,dp
lines,inverse,90,6,0.0014703329652547836,0.0022475410951301455,dp
lines,inverse,90,8,0.0013315830146893859,0.002029209048487246,dp
lines,inverse,90,10,0.0013085419777780771,0.0019989999709650874,dp
lines,inverse,90,20,0.0013102079974487424,0.0022696659434586763,dp
lines,inverse,100,4,0.0021187090314924717,0.0026046669809147716,dp
lines,inverse,100,6,0.001797415898181498,0.0024987499928101897,dp
lines,inverse,100,8,0.001663916977122426,0.0024059159914031625,dp
lines,inverse,100,10,0.0015562500339001417,0.002390083041973412,dp
lines,inverse,100,20,0.0015627919929102063,0.00259012496098876,dp
lines,nondecreasing,50,4,0.0006270830053836107,0.0009137499146163464,dp
lines,nondecreasing,50,6,0.0011829170398414135,0.0013886250089854002,dp
lines,nondecreasing,50,8,0.0013754579704254866,0.001778624951839447,dp
lines,nondecreasing,50,10,0.0012457079719752073,0.0016460419865325093,dp
lines,nondecreasing,50,20,0.002765666926279664,0.0033925409661605954,dp
lines,nondecreasing,60,4,0.001272666035220027,0.0017027079593390226,dp
lines,nondecreasing,60,6,0.0015516660641878843,0.0020009579602628946,dp
lines,nondecreasing,60,8,0.0021016669925302267,0.0026231249794363976,dp
lines,nondecreasing,60,10,0.002388875000178814,0.00287070800550282,dp
lines,nondecreasing,60,20,0.005828541005030274,0.006529874983243644,dp
lines,nondecreasing,70,4,0.0017705840291455388,0.0022306250175461173,dp
lines,nondecreasing,70,6,0.0021454589441418648,0.002638499950990081,dp
lines,nondecreasing,70,8,0.0021349170710891485,0.002686833031475544,dp
lines,nondecreasing,70,10,0.002568707917816937,0.0033187910448759794,dp
lines,nondecreasing,70,20,0.0038671670481562614,0.004691124893724918,dp
lines,nondecreasing,80,4,0.0016928339609876275,0.002163292025215924,dp
lines,nondecreasing,80,6,0.004195417044684291,0.004538915934972465,dp
lines,nondecreasing,80,8,0.0025870000245049596,0.003220332902856171,dp
lines,nondecreasing,80,10,0.002896833000704646,0.0035078340442851186,dp
lines,nondecreasing,80,20,0.006367333000525832,0.00720258301589638,dp
lines,nondecreasing,90,4,0.0030329159926623106,0.003683250048197806,dp
lines,nondecreasing,90,6,0.005761833977885544,0.006299416068941355,dp
lines,nondecreasing,90,8,0.005750332958996296,0.006370999966748059,dp
lines,nondecreasing,90,10,0.009286834043450654,0.009744665934704244,dp
lines,nondecreasing,90,20,0.014809374930337071,0.015683625009842217,dp
lines,nondecreasing,100,4,0.003439042018726468,0.0040843749884516,dp
lines,nondecreasing,100,6,0.004309666925109923,0.005013625021092594,dp
lines,nondecreasing,100,8,0.006873124977573752,0.007488333038054407,dp
lines,nondecreasing,100,10,0.009501500055193901,0.010127458022907376,dp
lines,nondecreasing,100,20,0.01459641708061099,0.015389459091238678,dp
lines,nonincreasing,50,4,0.0008028330048546195,0.001148125040344894,dp
lines,nonincreasing,50,6,0.0010816659778356552,0.0014647080097347498,dp
lines,nonincreasing,50,8,0.0014932499034330249,0.001967624993994832,dp
lines,nonincreasing,50,10,0.0014615419786423445,0.0018557499861344695,dp
lines,nonincreasing,50,20,0.004247125005349517,0.0048846249701455235,dp
lines,nonincreasing,60,4,0.0012014579260721803,0.0016654999926686287,dp
lines,nonincreasing,60,6,0.0016503329388797283,0.00209500000346452,dp
lines,nonincreasing,60,8,0.002544792019762099,0.002862208988517523,dp
lines,nonincreasing,60,10,0.0029677499551326036,0.0034653330221772194,dp
lines,nonincreasing,60,20,0.006294041988439858,0.006857041036710143,dp
lines,nonincreasing,70,4,0.013862999971024692,0.0020902090473100543,dp_decomp
lines,nonincreasing,70,6,0.00202166591770947,0.002484541037119925,dp
lines,nonincreasing,70,8,0.002365333028137684,0.0029690000228583813,dp
lines,nonincreasing,70,10,0.002635875018313527,0.00326941697858274,dp
lines,nonincreasing,70,20,0.006836041924543679,0.007463834015652537,dp
lines,nonincreasing,80,4,0.002089457935653627,0.0026178330881521106,dp
lines,nonincreasing,80,6,0.002526290947571397,0.0030301669612526894,dp
lines,nonincreasing,80,8,0.003203667001798749,0.0037709169555455446,dp
lines,nonincreasing,80,10,0.004651791998185217,0.0053153750486671925,dp
lines,nonincreasing,80,20,0.00985829089768231,0.011157499975524843,dp
lines,nonincreasing,90,4,0.002839582972228527,0.003447208902798593,dp
lines,nonincreasing,90,6,0.0032450000289827585,0.003912542015314102,dp
lines,nonincreasing,90,8,0.0038624589797109365,0.004435000009834766,dp
lines,nonincreasing,90,10,0.004741166951134801,0.005494791083037853,dp
lines,nonincreasing,90,20,0.01209699991159141,0.012853084015659988,dp
lines,nonincreasing,100,4,0.0032791660632938147,0.0038617500104010105,dp
lines,nonincreasing,100,6,0.003966790973208845,0.004695916082710028,dp
lines,nonincreasing,100,8,0.005128875025548041,0.005999875022098422,dp
lines,nonincreasing,100,10,0.006354083074256778,0.007248415960930288,dp
lines,nonincreasing,100,20,0.016307750018313527,0.01760295801796019,dp
random,random,50,4,0.00630237499717623,0.006650625029578805,dp
random,random,50,6,0.003914874978363514,0.004268457996658981,dp
random,random,50,8,0.0031162500381469727,0.0034392080269753933,dp
random,random,50,10,0.003775999997742474,0.0041929580038413405,dp
random,random,50,20,0.002027916954830289,0.002797583001665771,dp
random,random,60,4,0.005206375033594668,0.0054800419602543116,dp
